utc_timestamp;cet_cest_timestamp;load_actual;load_forecast;solar_actual;wind_actual
31.12.2014 23:00;01.01.2015 00:00;;;;
01.01.2015 00:00;01.01.2015 01:00;;;;
01.01.2015 01:00;01.01.2015 02:00;69773;69750;;1464
01.01.2015 02:00;01.01.2015 03:00;66417;66300;;1543
01.01.2015 03:00;01.01.2015 04:00;64182;63250;;1579
01.01.2015 04:00;01.01.2015 05:00;63859;61500;;1482
01.01.2015 05:00;01.01.2015 06:00;63921;60850;;1387
01.01.2015 06:00;01.01.2015 07:00;64117;60450;;1583
01.01.2015 07:00;01.01.2015 08:00;63861;60150;;1814
01.01.2015 08:00;01.01.2015 09:00;64277;59950;385;1936
01.01.2015 09:00;01.01.2015 10:00;65100;62000;1053;1927
01.01.2015 10:00;01.01.2015 11:00;65875;64100;1635;1846
01.01.2015 11:00;01.01.2015 12:00;67460;66450;1883;1768
01.01.2015 12:00;01.01.2015 13:00;65706;67250;1857;1715
01.01.2015 13:00;01.01.2015 14:00;62688;63600;1516;1693
01.01.2015 14:00;01.01.2015 15:00;60798;60400;911;1697
01.01.2015 15:00;01.01.2015 16:00;61111;59600;300;1938
01.01.2015 16:00;01.01.2015 17:00;65620;62750;39;2301
01.01.2015 17:00;01.01.2015 18:00;69967;68300;0;2672
01.01.2015 18:00;01.01.2015 19:00;71682;71300;0;3017
01.01.2015 19:00;01.01.2015 20:00;70462;71150;0;3289
01.01.2015 20:00;01.01.2015 21:00;68173;69400;0;3496
01.01.2015 21:00;01.01.2015 22:00;69188;68300;0;3619
01.01.2015 22:00;01.01.2015 23:00;70135;70350;0;3887
01.01.2015 23:00;02.01.2015 00:00;67584;69000;0;3971
02.01.2015 00:00;02.01.2015 01:00;65510;66750;0;4022
02.01.2015 01:00;02.01.2015 02:00;64522;66250;0;4034
02.01.2015 02:00;02.01.2015 03:00;61798;64150;0;4223
02.01.2015 03:00;02.01.2015 04:00;60686;62900;0;4433
02.01.2015 04:00;02.01.2015 05:00;62060;63350;0;4504
02.01.2015 05:00;02.01.2015 06:00;64662;66200;0;4490
02.01.2015 06:00;02.01.2015 07:00;66982;68100;0;4425
02.01.2015 07:00;02.01.2015 08:00;68828;70600;57;4247
02.01.2015 08:00;02.01.2015 09:00;70472;72600;331;3843
02.01.2015 09:00;02.01.2015 10:00;71681;73450;842;3518
02.01.2015 10:00;02.01.2015 11:00;72248;73350;1271;3270
02.01.2015 11:00;02.01.2015 12:00;73443;74000;1397;3083
02.01.2015 12:00;02.01.2015 13:00;71451;73800;1360;2771
02.01.2015 13:00;02.01.2015 14:00;69123;71050;1119;2381
02.01.2015 14:00;02.01.2015 15:00;66628;68200;639;2162
02.01.2015 15:00;02.01.2015 16:00;66234;67000;203;1877
02.01.2015 16:00;02.01.2015 17:00;69985;70050;36;1692
02.01.2015 17:00;02.01.2015 18:00;73818;74100;0;1605
02.01.2015 18:00;02.01.2015 19:00;73971;75800;0;1488
02.01.2015 19:00;02.01.2015 20:00;70938;73100;0;1367
02.01.2015 20:00;02.01.2015 21:00;67746;69600;0;1192
02.01.2015 21:00;02.01.2015 22:00;68455;68450;0;1088
02.01.2015 22:00;02.01.2015 23:00;69539;70350;0;1038
02.01.2015 23:00;03.01.2015 00:00;66642;67550;0;1168
03.01.2015 00:00;03.01.2015 01:00;64227;64400;0;1278
03.01.2015 01:00;03.01.2015 02:00;62716;63800;0;1376
03.01.2015 02:00;03.01.2015 03:00;59396;60600;0;1606
03.01.2015 03:00;03.01.2015 04:00;57700;58950;0;1905
03.01.2015 04:00;03.01.2015 05:00;58131;59000;0;2182
03.01.2015 05:00;03.01.2015 06:00;59493;60000;0;2344
03.01.2015 06:00;03.01.2015 07:00;60986;61650;0;2744
03.01.2015 07:00;03.01.2015 08:00;62703;63850;52;3217
03.01.2015 08:00;03.01.2015 09:00;64814;65550;275;3846
03.01.2015 09:00;03.01.2015 10:00;66427;67900;693;4216
03.01.2015 10:00;03.01.2015 11:00;67027;68500;1025;4683
03.01.2015 11:00;03.01.2015 12:00;68498;69700;1183;5302
03.01.2015 12:00;03.01.2015 13:00;66851;69400;1204;5822
03.01.2015 13:00;03.01.2015 14:00;64325;65850;991;6246
03.01.2015 14:00;03.01.2015 15:00;61852;62800;600;6630
03.01.2015 15:00;03.01.2015 16:00;60906;61050;209;6730
03.01.2015 16:00;03.01.2015 17:00;63367;63650;38;6649
03.01.2015 17:00;03.01.2015 18:00;66458;66950;0;6362
03.01.2015 18:00;03.01.2015 19:00;66400;67900;0;5858
03.01.2015 19:00;03.01.2015 20:00;63519;65400;0;4972
03.01.2015 20:00;03.01.2015 21:00;60554;62400;0;4106
03.01.2015 21:00;03.01.2015 22:00;61320;61750;0;3385
03.01.2015 22:00;03.01.2015 23:00;62725;65150;0;2742
03.01.2015 23:00;04.01.2015 00:00;60265;62300;0;2376
04.01.2015 00:00;04.01.2015 01:00;57658;58900;0;2172
04.01.2015 01:00;04.01.2015 02:00;55874;57500;0;2086
04.01.2015 02:00;04.01.2015 03:00;52581;54050;0;1815
04.01.2015 03:00;04.01.2015 04:00;50650;51750;0;1562
04.01.2015 04:00;04.01.2015 05:00;50570;51050;0;1370
04.01.2015 05:00;04.01.2015 06:00;51566;51800;0;1273
04.01.2015 06:00;04.01.2015 07:00;52564;52900;0;1164
04.01.2015 07:00;04.01.2015 08:00;53872;54700;56;1061
04.01.2015 08:00;04.01.2015 09:00;56101;56300;335;1019
04.01.2015 09:00;04.01.2015 10:00;58463;59050;847;970
04.01.2015 10:00;04.01.2015 11:00;60123;60950;1235;928
04.01.2015 11:00;04.01.2015 12:00;62579;63550;1362;889
04.01.2015 12:00;04.01.2015 13:00;60885;64050;1370;892
04.01.2015 13:00;04.01.2015 14:00;58183;60850;1142;895
04.01.2015 14:00;04.01.2015 15:00;56109;58450;681;896
04.01.2015 15:00;04.01.2015 16:00;55809;58000;229;890
04.01.2015 16:00;04.01.2015 17:00;59859;60950;37;920
04.01.2015 17:00;04.01.2015 18:00;65218;66450;0;884
04.01.2015 18:00;04.01.2015 19:00;66941;69450;0;901
04.01.2015 19:00;04.01.2015 20:00;65231;68150;0;951
04.01.2015 20:00;04.01.2015 21:00;62623;65300;0;957
04.01.2015 21:00;04.01.2015 22:00;63366;63600;0;1005
04.01.2015 22:00;04.01.2015 23:00;64730;66750;0;982
04.01.2015 23:00;05.01.2015 00:00;62610;62900;0;1057
05.01.2015 00:00;05.01.2015 01:00;61092;60250;0;1048
05.01.2015 01:00;05.01.2015 02:00;60219;59650;0;1010
05.01.2015 02:00;05.01.2015 03:00;57535;56500;0;947
05.01.2015 03:00;05.01.2015 04:00;56891;55050;0;821
05.01.2015 04:00;05.01.2015 05:00;59823;56750;0;760
05.01.2015 05:00;05.01.2015 06:00;66249;61800;0;731
05.01.2015 06:00;05.01.2015 07:00;73308;69500;0;825
05.01.2015 07:00;05.01.2015 08:00;76107;73700;64;848
05.01.2015 08:00;05.01.2015 09:00;76452;74400;371;796
05.01.2015 09:00;05.01.2015 10:00;76494;75200;949;702
05.01.2015 10:00;05.01.2015 11:00;76683;75700;1436;576
05.01.2015 11:00;05.01.2015 12:00;76812;75950;1609;515
05.01.2015 12:00;05.01.2015 13:00;75421;75900;1582;476
05.01.2015 13:00;05.01.2015 14:00;73763;74200;1325;436
05.01.2015 14:00;05.01.2015 15:00;71536;71550;819;429
05.01.2015 15:00;05.01.2015 16:00;71665;70350;278;469
05.01.2015 16:00;05.01.2015 17:00;75440;73200;41;546
05.01.2015 17:00;05.01.2015 18:00;79847;78050;0;602
05.01.2015 18:00;05.01.2015 19:00;80090;79950;0;610
05.01.2015 19:00;05.01.2015 20:00;76262;76050;0;598
05.01.2015 20:00;05.01.2015 21:00;71858;71850;0;623
05.01.2015 21:00;05.01.2015 22:00;71997;69600;0;678
05.01.2015 22:00;05.01.2015 23:00;72673;72400;0;729
05.01.2015 23:00;06.01.2015 00:00;69935;70550;0;736
06.01.2015 00:00;06.01.2015 01:00;67795;67900;0;739
06.01.2015 01:00;06.01.2015 02:00;66811;67450;0;736
06.01.2015 02:00;06.01.2015 03:00;64040;64850;0;753
06.01.2015 03:00;06.01.2015 04:00;63275;63650;0;754
06.01.2015 04:00;06.01.2015 05:00;65977;65300;0;823
06.01.2015 05:00;06.01.2015 06:00;72092;70200;0;986
06.01.2015 06:00;06.01.2015 07:00;78888;77800;0;1114
06.01.2015 07:00;06.01.2015 08:00;81429;81500;62;1120
06.01.2015 08:00;06.01.2015 09:00;81438;80550;350;1110
06.01.2015 09:00;06.01.2015 10:00;81086;80200;876;1143
06.01.2015 10:00;06.01.2015 11:00;81166;79600;1322;1220
06.01.2015 11:00;06.01.2015 12:00;80973;78900;1508;1248
06.01.2015 12:00;06.01.2015 13:00;79304;78450;1489;1280
06.01.2015 13:00;06.01.2015 14:00;77662;76500;1221;1348
06.01.2015 14:00;06.01.2015 15:00;75285;73800;712;1381
06.01.2015 15:00;06.01.2015 16:00;75028;73050;235;1504
06.01.2015 16:00;06.01.2015 17:00;78196;75350;39;1586
06.01.2015 17:00;06.01.2015 18:00;81983;79900;0;1553
06.01.2015 18:00;06.01.2015 19:00;81712;81000;0;1519
06.01.2015 19:00;06.01.2015 20:00;77245;77300;0;1468
06.01.2015 20:00;06.01.2015 21:00;72532;72800;0;1387
06.01.2015 21:00;06.01.2015 22:00;72243;70600;0;1348
06.01.2015 22:00;06.01.2015 23:00;72686;72450;0;1240
06.01.2015 23:00;07.01.2015 00:00;69988;71550;0;997
07.01.2015 00:00;07.01.2015 01:00;67621;68450;0;818
07.01.2015 01:00;07.01.2015 02:00;66393;67750;0;708
07.01.2015 02:00;07.01.2015 03:00;63640;64750;0;638
07.01.2015 03:00;07.01.2015 04:00;62955;63600;0;565
07.01.2015 04:00;07.01.2015 05:00;65636;65450;0;528
07.01.2015 05:00;07.01.2015 06:00;71516;70450;0;569
07.01.2015 06:00;07.01.2015 07:00;78168;77350;0;697
07.01.2015 07:00;07.01.2015 08:00;80971;81100;62;869
07.01.2015 08:00;07.01.2015 09:00;80546;81450;350;1012
07.01.2015 09:00;07.01.2015 10:00;79801;81400;890;1060
07.01.2015 10:00;07.01.2015 11:00;79494;81000;1361;969
07.01.2015 11:00;07.01.2015 12:00;79036;80550;1593;879
07.01.2015 12:00;07.01.2015 13:00;77255;79600;1599;858
07.01.2015 13:00;07.01.2015 14:00;75421;77300;1355;900
07.01.2015 14:00;07.01.2015 15:00;73262;74000;862;973
07.01.2015 15:00;07.01.2015 16:00;72881;72750;309;1117
07.01.2015 16:00;07.01.2015 17:00;75844;74550;44;1416
