utc_timestamp;cet_cest_timestamp;load_actual;load_forecast;solar_actual;wind_actual;wind_offshore_actual;wind_onshore_actual
31.12.2014 23:00;01.01.2015 00:00;;;;;;
01.01.2015 00:00;01.01.2015 01:00;9401;8937;;1451;145;1306
01.01.2015 01:00;01.01.2015 02:00;8957;8608;;1447;145;1302
01.01.2015 02:00;01.01.2015 03:00;8462;8462;;1479;148;1331
01.01.2015 03:00;01.01.2015 04:00;8156;8500;;1340;134;1206
01.01.2015 04:00;01.01.2015 05:00;8126;8880;;1402;140;1262
01.01.2015 05:00;01.01.2015 06:00;8292;9995;;1742;174;1568
01.01.2015 06:00;01.01.2015 07:00;8638;11882;;1698;170;1528
01.01.2015 07:00;01.01.2015 08:00;8927;13240;;1521;152;1369
01.01.2015 08:00;01.01.2015 09:00;9312;13817;40;1509;151;1358
01.01.2015 09:00;01.01.2015 10:00;9933;14072;125;1628;163;1465
01.01.2015 10:00;01.01.2015 11:00;10432;14182;247;1692;169;1522
01.01.2015 11:00;01.01.2015 12:00;11919;14036;313;1699;170;1529
01.01.2015 12:00;01.01.2015 13:00;11951;14014;283;1730;173;1557
01.01.2015 13:00;01.01.2015 14:00;12067;13916;179;1797;180;1617
01.01.2015 14:00;01.01.2015 15:00;11829;13895;86;1964;196;1767
01.01.2015 15:00;01.01.2015 16:00;12087;14432;14;1990;199;1791
01.01.2015 16:00;01.01.2015 17:00;12683;15195;0;2150;215;1935
01.01.2015 17:00;01.01.2015 18:00;12299;14731;0;2322;232;2089
01.01.2015 18:00;01.01.2015 19:00;11716;14195;0;2442;244;2198
01.01.2015 19:00;01.01.2015 20:00;11365;13534;0;2502;250;2252
01.01.2015 20:00;01.01.2015 21:00;10878;12661;0;2524;252;2271
01.01.2015 21:00;01.01.2015 22:00;10563;11685;0;2547;255;2292
01.01.2015 22:00;01.01.2015 23:00;9824;10702;0;2542;254;2288
01.01.2015 23:00;02.01.2015 00:00;8995;9701;0;2502;250;2252
02.01.2015 00:00;02.01.2015 01:00;8303;8999;0;2487;249;2239
02.01.2015 01:00;02.01.2015 02:00;7876;8628;0;2513;251;2262
02.01.2015 02:00;02.01.2015 03:00;7700;8476;0;2511;251;2260
02.01.2015 03:00;02.01.2015 04:00;7771;8499;0;2520;252;2268
02.01.2015 04:00;02.01.2015 05:00;8255;8868;0;2495;250;2246
02.01.2015 05:00;02.01.2015 06:00;9355;9991;0;2413;241;2172
02.01.2015 06:00;02.01.2015 07:00;10990;11798;0;2313;231;2082
02.01.2015 07:00;02.01.2015 08:00;12458;13186;0;2228;223;2005
02.01.2015 08:00;02.01.2015 09:00;13446;13899;2;2286;229;2057
02.01.2015 09:00;02.01.2015 10:00;14038;14232;24;2353;235;2118
02.01.2015 10:00;02.01.2015 11:00;14021;14313;56;2395;240;2156
02.01.2015 11:00;02.01.2015 12:00;13813;14129;110;2388;239;2149
02.01.2015 12:00;02.01.2015 13:00;13566;13962;185;2403;240;2163
02.01.2015 13:00;02.01.2015 14:00;13543;13776;194;2428;243;2185
02.01.2015 14:00;02.01.2015 15:00;13899;13637;116;2367;237;2130
02.01.2015 15:00;02.01.2015 16:00;14181;14101;19;2369;237;2132
02.01.2015 16:00;02.01.2015 17:00;15086;14978;0;2382;238;2143
02.01.2015 17:00;02.01.2015 18:00;14341;14522;0;2326;233;2094
02.01.2015 18:00;02.01.2015 19:00;13904;13873;0;2277;228;2049
02.01.2015 19:00;02.01.2015 20:00;13403;13155;0;2164;216;1947
02.01.2015 20:00;02.01.2015 21:00;12632;12330;0;2151;215;1936
02.01.2015 21:00;02.01.2015 22:00;11720;11455;0;2054;205;1849
02.01.2015 22:00;02.01.2015 23:00;11180;10604;0;1907;191;1717
02.01.2015 23:00;03.01.2015 00:00;10869;9676;0;1730;173;1557
03.01.2015 00:00;03.01.2015 01:00;10501;8926;0;1583;158;1424
03.01.2015 01:00;03.01.2015 02:00;10213;8504;0;1419;142;1277
03.01.2015 02:00;03.01.2015 03:00;10047;8312;0;1436;144;1292
03.01.2015 03:00;03.01.2015 04:00;9840;8282;0;1431;143;1288
03.01.2015 04:00;03.01.2015 05:00;10137;8465;0;1356;136;1221
03.01.2015 05:00;03.01.2015 06:00;10463;9021;0;1522;152;1369
03.01.2015 06:00;03.01.2015 07:00;11022;9998;0;1688;169;1519
03.01.2015 07:00;03.01.2015 08:00;11918;11213;0;1766;177;1589
03.01.2015 08:00;03.01.2015 09:00;12980;12314;2;1905;191;1715
03.01.2015 09:00;03.01.2015 10:00;13670;12950;6;1514;151;1362
03.01.2015 10:00;03.01.2015 11:00;14458;13168;10;1098;110;988
03.01.2015 11:00;03.01.2015 12:00;14821;13156;18;918;92;826
03.01.2015 12:00;03.01.2015 13:00;14856;12982;26;763;76;686
03.01.2015 13:00;03.01.2015 14:00;15101;12816;24;564;56;508
03.01.2015 14:00;03.01.2015 15:00;15457;12763;10;343;34;308
03.01.2015 15:00;03.01.2015 16:00;15728;13351;1;349;35;314
03.01.2015 16:00;03.01.2015 17:00;16127;14210;0;507;51;457
03.01.2015 17:00;03.01.2015 18:00;15663;13903;0;685;68;616
03.01.2015 18:00;03.01.2015 19:00;14800;13367;0;1004;100;904
03.01.2015 19:00;03.01.2015 20:00;13959;12677;0;1147;115;1032
03.01.2015 20:00;03.01.2015 21:00;13258;11857;0;1282;128;1153
03.01.2015 21:00;03.01.2015 22:00;12430;11181;0;1371;137;1234
03.01.2015 22:00;03.01.2015 23:00;11604;10315;0;1477;148;1329
03.01.2015 23:00;04.01.2015 00:00;11033;9555;0;;;1539
04.01.2015 00:00;04.01.2015 01:00;10512;8842;0;;;1414
04.01.2015 01:00;04.01.2015 02:00;9963;8412;0;;;1453
04.01.2015 02:00;04.01.2015 03:00;9759;8207;0;;;1371
04.01.2015 03:00;04.01.2015 04:00;9715;8167;0;;;1345
04.01.2015 04:00;04.01.2015 05:00;9865;8260;0;;;1320
04.01.2015 05:00;04.01.2015 06:00;10119;8537;0;;;1235
04.01.2015 06:00;04.01.2015 07:00;10770;9099;0;;;1177
04.01.2015 07:00;04.01.2015 08:00;11637;9925;0;;;1079
04.01.2015 08:00;04.01.2015 09:00;12423;10697;23;;;981
04.01.2015 09:00;04.01.2015 10:00;13200;11315;103;;;805
04.01.2015 10:00;04.01.2015 11:00;13474;11671;194;;;745
04.01.2015 11:00;04.01.2015 12:00;13384;11885;264;;;680
04.01.2015 12:00;04.01.2015 13:00;13590;11799;277;;;626
04.01.2015 13:00;04.01.2015 14:00;13786;11641;220;;;577
04.01.2015 14:00;04.01.2015 15:00;13938;11658;119;;;535
04.01.2015 15:00;04.01.2015 16:00;13947;12298;24;;;523
04.01.2015 16:00;04.01.2015 17:00;15051;13666;0;;;546
04.01.2015 17:00;04.01.2015 18:00;15182;13613;0;;;525
04.01.2015 18:00;04.01.2015 19:00;15015;13229;0;;;398
04.01.2015 19:00;04.01.2015 20:00;14561;12704;0;;;470
04.01.2015 20:00;04.01.2015 21:00;14015;11983;0;;;608
04.01.2015 21:00;04.01.2015 22:00;13172;11193;0;;;807
04.01.2015 22:00;04.01.2015 23:00;12148;10135;0;;;890
04.01.2015 23:00;05.01.2015 00:00;11476;9291;0;;;936
05.01.2015 00:00;05.01.2015 01:00;10890;8678;0;;;965
05.01.2015 01:00;05.01.2015 02:00;10460;8403;0;;;1093
05.01.2015 02:00;05.01.2015 03:00;10373;8310;0;;;1064
05.01.2015 03:00;05.01.2015 04:00;10550;8404;0;;;1097
05.01.2015 04:00;05.01.2015 05:00;11098;8895;0;;;949
